ID,Author,Comment
224,@matiasbenitez6057,el director del concar era taroco o antin
225,@nahuelcaniella8579,el terror de los blancos zintv
226,@EduardoGarcia-fx9rt,bota por un politico
227,@reikirelax5670,inocente luisito
228,@paulobassman,bochanón muero con este término
229,@geradocigaran7530,hasta las pelotas unos cuantos
230,@reginaldocorbo279,once cargos y  días de prisión entre los cargos  de abuso sexual y  de abuso especialmente agrabado  días disculpen que me reitere pero  días es incomprensible bien que le toque prisión pero no parece que se mida parejo
231,@flacogab,mira el violín la gavilla que tenia atroilo dogor jajajajaja aguante zin tv noma
232,@joseluispisano2155,una persona señor presidente no le cree a joven hasta de supaartido usted es presidente no es abogado defensor pq las otras  persona y que creen enpenades pr favor que esta jueza siga investigando lq tapo todo lq tapo fossati
233,@jbjb618,mamá que gobierno y las focas aplauden
234,@moro2120,funesto
235,@ml2082,repito presos
236,@TerminalBreaking,vaca yendo gente al baile
237,@gimenaponte4566,estos q hablarón tambien presos
238,@esthersanterciel,hay que ponerle una lapida a este gobierno que diga pasaron por el gobierno corropieron y ensuciaron la democracia del uruguayque jamas regresendespues del dia de ayer partido nacional qepd
239,@wgmg4168,buenas noches va a pasar el gordito
240,@marcosrosa2567,el violín
241,@ml2082,renunciaheber
242,@washingtonrafaellarrude9573,días parece que el tipejo sigue con la sombra de los fueros
243,,se terminó el recreo
244,@sergiogutierrez4636,le descargaron el código penal y le dieron  meses qué verguenza la justicia uruguaya
245,@gervasiolembo4028,sus votantes cómo duermen
246,@AdrianHernandez-tj6jx,preso
247,@mathiasdeleon3709,díases joda
248,@cristianfabianpereyramaida1127,cínicos
249,@federicolaureiro3001,pa dentro
250,@pablogarcia-yi3uw,mentira el qukito sabía todo igual q heber
251,@MARCELO-BCN,que lo pongan a compartir celda con roque barla ex edil en salto por el frentepitcntamplio hoy cumpliendo pena de prisión por abusar de su propia nieta de tres añitos
252,@matiaspelaez8416,luego te tiran yo no los vote
253,@mariososa8578,eto e un granito de arena delo grande que es el abuso a menores
254,@MISSLALEITO,dias
255,@andreavitacca6035,a este gobierno no lo votan más con este caso más otros demuestra que este gobierno fue lo peor del siglo xxi
256,@paulasasso5934,días lamentable
257,@SiuLoong,dime con quien andas y te dire quien eres
258,@danielumpierrez3762,tiene más delitos que días de cárcel soy yo y me están dando mazorca los próximos  años
259,@monicag.0210,buenode a poco todo se va encaminadoa la presidencia del fa
260,@eduardojoserodriguezlazo1459,y después hablamos de la mafia siciliana jeje
261,@martindeleon6062,pa troden
262,@perlaindigo9849,dias nooooooooo
263,@user-mk2dh7cw3m,los sacerdotes qué abusaron las mujeres no abusan
264,@levingtondebrun8007,lo vengo diciendo hace  años al menos en un país medianamente serio medianamente le harían censura al gobierno destitución y llamado a elecciones anticipadas pero como no estamos en una democracia de verdad no sucedió ni sucederá los políticos quieren dar una imagenfalsa de democracia seria hablo de todos los políticos izquierda y derecha
265,@37style,solo  días
266,@sebastiantourn3075,yaaa
267,@user-mk2dh7cw3m,con la ley  no adelanta si es verdad o es mentira esta preso por una denuncia falsa y san se acabo
268,@luiscasas8707,ratas les queda poco
269,@wdmiranda,presos
270,@beatrizlibby5476,si este y slguno frentachos tambien
271,@silviamachado9889,joder con los s blsncostiene todos lis delutos en dus gilafy cusndo figontodo es todo
272,@ricardooneil5194,heber andate
273,@Homeropiratas,que valiente la fiscal cómo se llama
